symbol,name,momentum,close,ma5,last_4_closes_sum,rps
603129,春风动力,0.2916014139335094,288.66,290.812,1165.76,79.26275992438563
601778,晶科科技,0.2915254237288135,3.81,3.846,15.360000000000001,79.24385633270322
002950,奥美医疗,0.29128440366972463,11.26,11.373999999999999,45.56,79.22495274102079
603817,海峡环保,0.29094076655052264,7.41,7.248,29.39,79.20604914933837
300919,中伟股份,0.29058240396530344,41.66,41.034,164.3,79.18714555765595
603680,今创集团,0.2901234567901235,14.63,13.953999999999999,56.14,79.16824196597354
300983,尤安设计,0.2898701298701298,24.83,25.736,102.42,79.1493383742911
688236,春立医疗,0.2894308943089431,23.79,24.118000000000002,96.57,79.13043478260869
300145,南方泵业,0.28895184135977336,4.55,4.470000000000001,17.95,79.11153119092627
002555,三七互娱,0.2889144170017232,22.44,22.308,89.64,79.09262759924385
600338,西藏珠峰,0.2885662431941924,14.2,13.826000000000002,55.53,79.07372400756144
600848,上海临港,0.2884399551066218,11.48,11.386,45.56,79.054820415879
000571,新大洲A,0.2882483370288248,5.81,5.732,23.069999999999997,79.03591682419659
920879,基康技术,0.2880562060889931,22.0,22.106,88.43,79.01701323251417
600855,航天长峰,0.28764204545454536,18.13,19.131999999999998,75.74,78.99810964083176
600973,宝胜股份,0.2868369351669941,6.55,6.574,26.400000000000002,78.97920604914934
603655,朗博科技,0.28651292802236195,36.82,36.39,146.35,78.96030245746691
301231,荣信文化,0.28633217993079574,29.74,29.881999999999998,120.24999999999999,78.94139886578449
300467,迅游科技,0.2860475968268782,27.56,27.694,110.99000000000001,78.92249527410208
601058,赛轮轮胎,0.28571428571428553,16.56,17.036,67.69999999999999,78.90359168241966
300512,中亚股份,0.285377358490566,10.9,10.709999999999999,43.11,78.88468809073724
601118,海南橡胶,0.2851153039832286,6.13,5.691999999999999,23.04,78.86578449905483
603283,赛腾股份,0.28491455509723046,43.61,42.314,170.18,78.8468809073724
002725,跃岭股份,0.2846328538985615,16.97,16.99,68.13,78.82797731568998
300644,南京聚隆,0.28457142857142853,33.72,32.886,132.38,78.80907372400756
002564,天沃科技,0.2844522968197879,7.27,7.368,29.509999999999998,78.79017013232514
688339,亿华通-U,0.2843866171003718,27.64,27.774,111.09,78.77126654064273
600326,西藏天路,0.2841981132075472,10.89,10.82,43.34,78.7523629489603
002335,科华数据,0.2838972882169426,53.5,53.662,212.51,78.73345935727788
301171,易点天下,0.28363357608279044,33.49,33.628,134.02,78.71455576559546
603081,大丰实业,0.2826492537313432,13.75,13.634,54.74,78.69565217391305
603755,日辰股份,0.28251640293323027,33.23,33.952,133.88,78.67674858223063
002813,路畅科技,0.2824330072309654,30.15,29.560000000000002,119.75999999999999,78.65784499054821
300690,双一科技,0.2823284823284823,30.84,31.009999999999998,123.78,78.63894139886578
002356,赫美集团,0.2819672131147542,3.91,3.9979999999999998,15.94,78.62003780718337
300433,蓝思科技,0.2819124943617501,28.42,28.85,114.6,78.60113421550095
002346,柘中股份,0.2815463165572574,17.57,17.606,70.32,78.58223062381853
603687,大胜达,0.2812920592193809,9.52,9.382,37.730000000000004,78.56332703213612
600637,东方明珠,0.2811634349030471,9.25,9.278,37.230000000000004,78.54442344045368
